,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - espessura,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
10,11,Santo,Santo Antônio de Pádua,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Escultura religiosa, de pequeno porte, confeccionada em madeira (jacarandá) entalhada, pintada e dourada, representando Santo Antônio de Pádua. Figura masculina, jovem, de pé, em posição frontal, tendo rosto redondo ligeiramente voltado à esquerda, com cabelos em tonsura, no tom castanho, carnação esbranquiçada, orelhas aparentes, sobrancelhas e olhos pintados em tom castanho, nariz aqulino, boca pequena (aparentemente entreaberta), pintada em tom vermelho, e pescoço delgado. Traja hábito franciscano, em tom marrom escuro, composto por túnica longa, de mangas compridas e amplas, sobreposta por manto curto com capuz, ambos ornados por barra dourada, tendo cíngulo dourado envolto na cintura, contendo três nós (símbolo da (representando obediência, castidade e pobreza) e borla na extremidade. Panejamento pouco movimentado. Apresenta os braços flexionados, tendo sua mão direita com dedos voltados para dentro para segurar atributo (este inexistente) e sua mão esquerda segurando livro com orifício na capa para encaixe do Menino Jesus (inexistente). Pés calçados com sandálias com dedos longilíneos aparentes, tendo o seu pé esquerdo ligeiramente posicionado para trás. Peça apoiada sobre base de formato retangular pintada em marmorizado nos tons azul claro e escuro. Apresenta vestígios de ornatos em ramagens na parte frontal da indumentária. Santo sem o Menino Jesus.","25,5","5,5","11,5",,,,Folha de Ouro | Madeira | Tinta,Brasil > Minas Gerais,Século XIX | Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
11,12,Escultura Religiosa,“Crucifixo”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura de Cristo pregado na cruz por três cravos, em posição frontal, de cabeça inclinada à frente, de olhos fechados; com cabelos pretos, compridos, com uma ponta caída sobre o ombro direito. Boca fechada, de bigode e barba pretos. Tem os braços estendidos em “Y”, mais abertos, com as mãos de abençoar. Tórax com a chaga do lado direito do peito demarcada; pernas bem dobradas, com o pé direito sobre o esquerdo. Vestido com perizônio curto, seguro por duplo cordão dourado, com dobra grossa ao meio e um laço grande despontado á esquerda. Tem estrias e marcas vermelhas imitando sangue em várias partes do corpo. Cruz em forma de tronco desgalhado, de seção quadrangular arredondada, com os nós marcados, pintado de verde. Base em forma de peanha, trifacetada, em marmorizado azul e branco, com moldura arredondada vermelha na borda superior; moldura mais larga ao centro, em gomos invertidos, também vermelha; friso vermelho inferior, seguido de uma borda lisa, toda em azul.",77,23,,,,,Madeira | Ouro | Tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
12,13,Escultura Religiosa,“Crucifixo com pia de Água Benta”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Crucifixo inserido dentro de uma tarja cordiforme, delimitada por duplo friso formado por “cês”, angras, acantos e concheados, com guirlanda de flores nas extremidades do centro, com o espaço entre os frisos pintado de amarelo ouro; parte inferior com molduras e uma pequena pia de formato cônico, em gomos, envolvida ao centro por guirlanda de flores, com arremate inferior em pinha. Parte superior da tarja arrematada em frontão curvo e vazado, com lambrequins recortados; contorno em acantos, angras e “cês”, tendo no centro inferior uma Pomba do Divino entre quatro raios frisados, de asas abertas, com a cabeça voltada para baixo. Interior da tarja revestido por um veludo vermelho, onde se insere um crucifico, com o Cristo pregado por quatro cravos, de cabeça voltada para a esquerda, erguida, com os olhos direcionados ao alto; de cabelos compridos, com uma mecha sinuosa caída em cada ombro; de boca entreaberta, com bigode e barba ralos; tem os braços estendidos em “Y”, com as mãos de abençoar; tórax com as costelas levemente demarcadas; pernas muito ligeiramente dobradas, com os pés pregados em paralelo. Vestido por perizônio curto, cobrindo o lado direito, seguro por um cordão duplo, tendo o laço despontado á esquerda.Cruz em traves retangulares, planas, delimitada por friso interior, onde se encontra levemente rebaixada. Dourada. Título de formato losangular, com a inscrição gravada.",91,57,,,,,Folha de Ouro | Madeira | Marfim | Prata | Tecido | Tinta,Europa (Luso-Oriental) | Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
13,14,Escultura Religiosa,“São Bento”,,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, de meia-idade, em posição frontal, de cabeça erguida, com olhos direcionados a frente, com ampla tonsura monacal, rodeada por mechas de cabelo escuro, com uma mecha solta a frente; boca fechada; tem os braços flexionados a frente, mãos fechadas, a direita de segurar e a esquerda com o dedo indicador apontado; perna direita ligeiramente flexionada e a esquerda reta, com os pés em angulo; veste hábito escuro, repuxado ao centro, com detalhes dourados, mangas com amplas cogulas e punhos dourados com relevo de flores miúdas; barra do hábito com faixa dourada e relevo de flores; capuz cobrindo a parte de trás da cabeça. Sapatos dourados. Base retangular, de quinas chanfradas, com faces em moldura meia-cana invertida, pintadas de marrom, com a borda frisada; superfície pintada de verde, tendo no lado direito uma mitra de tom esverdeado, arrematada por barras douradas, com relevo de flores, e uma cruz dourada ao centro.","62,5",29,,,,,Folha de Ouro | Madeira | Tinta,Brasil > Minas Gerais,Século XIX | Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
14,15,Escultura Religiosa,“São Domingo de Gusmão”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, jovem, imberbe, de pé, em posição frontal, com a cabeça erguida, olhos direcionados para baixo; com ampla tonsura, rodeada por mechas sinuosas de cabelo; boca entreaberta; orelhas pouco destacadas do crânio. Tem o braço direito flexionado à frente, mão de segurar; braço esquerdo estendido lateralmente, mão sustentando um livro fechado; perna direita levemente flexionada, e a esquerda reta, com os pés em ângulo suave, calçados em sapatos arredondados. Vestido em hábito cingido por cinto de fivela com ponta caída; mangas com cogulas e abaixo delas punhos com botões (três na direita e dois na esquerda); escapulário comprido e largo; murça e capuz caído por trás. Base de forma retangular, arredondada nas quinas, com a borda superior chanfrada; possuí sobre a superfície direita os restos de três patas do cachorro que acompanha o santo.","62,5",26,,,,,Barro,Brasil,Século XVIII > [entre 1701 e 1750],museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
15,16,Escultura Religiosa,“Nossa Senhora”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura feminina, de meia-idade, em posição frontal, de pé sobre base atributiva, com a cabeça erguida, e o olhar direcionado à frente; cabelos compridos, em mechas sinuosas, com pontas caídas sobre os ombros, parcialmente cobertos por véu esvoaçante; tem os braços flexionados á frente, mas sem as mãos; perna esquerda dobrada e a direita reta, com os pés encobertos pela veste; vestida de túnica roçagante, cingida á cintura; com mantelete junto ao peito; manto jogado por trás, onde aparece em tem azulado, e enrolado nos dois braços, onde caí em dobras sinuosas,pelo lado esquerdo,e retas, pelo lado direito, com uma dobra ao centro. Base atributiva, em tufos de nuvens, tendo à frente cinco cabeças de anjos, sendo duas superiores, inclinadas para dentro, e três inferiores, com a do centro reta e as duas inclinadas para fora; os anjos tem os cabelos curtos, em estrias finas, partidos ao meio, com recortes laterais; as asas em recortes sinuosos, voltadas para baixo. Peanha oitavada, com as faces em seqüência de molduras meia-cana e frisos.","39,5",19,,,,,Madeira | Tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
16,17,Santo,São Vicente de Paula,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Escultura religiosa, de médio porte, confeccionada em madeira (cedro) entalhada, pintada e dourada, de manufatura erudita, representando São Vicente de Paula. Figura masculina, idosa, semicalva, de pé, em posição frontal, com orifício no alto da cabeça para encaixe do resplendor em metal (prata). Apresenta rosto largo, tez com carnação em tom bege escuro, cabelos curtos grisalhos e levemente ondulados, orelhas aparentes, testa larga, sobrancelhas finas e arqueadas, em tom castanho, olhos castanho, de vidro, com olhar direcionado à frente, nariz aquilino com narinas ligeiramente abertas e sulcos bem marcados, bochechas proeminentes, barba curta grisalha com leve ondulamento e boca cerrada, com lábios em tom vermelho. Traja túnica preta, de mangas compridas, ornada com motivos florais em dourado (esgrafito), tendo pregas bem marcadas na parte inferior e ornatos em dourado. Túnica sobreposta por manto semi-longo dourado, com estriados verticais bem delineados, mangas largas e compridas, arrematadas por extremidade em ponta, tendo barra ondulada na parte inferior e gola. Panejamento movimentado. Tem os pés calçados com sapatos pretos ornados com fivela. Apresenta seu braço direito flexionado, tendo a mão de dedos longilíneos em posição para segurar atributo (este inexistente). Tem seu braço esquerdo flexionado, segurando Menino Jesus, representado através de figura de criança com o corpo ligeiramente de perfil, tendo a cabeça voltada à esquerda, coberta por touca verde e vermelha, sobre cabelos lisos em tom castanho claro. Apresenta rosto redondo, tez com carnação em tom bege escuro, sobrancelhas em tom castanho claro, olhos de vidro, nariz arrebitado, maçãs do rosto avermelhadas, boca cerrada em tom vermelho e queixo duplo. Traja túnica bege com mangas ¾, deixando o peito parcialmente desnudo, tendo o corpo envolto por manta vermelha com pregas bem marcadas. Panejamento movimentado. Tem seu braço direito elevado (com a mão quebrada) e o seu braço esquerdo junto ao corpo (com dedo polegar quebrado). Escultura apoiada sobre base octogonal, pintada em tom verde. Nas costas do santo, destaca-se argola em metal.","48,7",16,21,,,,Folha de Ouro | Madeira | Metal | Tinta,[Portugal?],Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
17,18,Santo,São Joaquim,Joaquim Francisco de Assis Pereira,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Escultura religiosa, de médio porte e manufatura erudita, confeccionada em madeira entalhada e pintada, representando São Joaquim. Figura masculina, idosa, de pé, em posição frontal, semi-calvo, com cabelos castanhos curtos e levemente ondulados, rosto comprido, testa larga, orelhas parcialmente aparentes, olhos amendoados pretos, de vidro, com sobrancelhas, cílios, barba e bigode pintados em tom castanho. Apresenta barba bipartida com terminações em caracóis e boca pequena pintada na parte interna em tinta marrom (simulando boca entreaberta). Carnação em tom bege. Traja túnica longa, cintada, de mangas compridas, em tom vinho, com gola em ""V"" ornada por friso dourado e motivos florais, em vermelho, branco e dourado. São Joaquim apresenta os braços flexionados, tendo seu braço direito voltado à frente com a mão em posição de quem segura um cajado (este inexistente). Com seu braço esquerdo carrega cesto estofado imitando palha trançada. Pés calçados com sapatos pretos aparentes. Tem sua perna direita levemente flexionada, com o pé posicionado lateralmente. Escultura apoiada sobre base octogonal escalonada pintada em marmorizado nos tons cinza e preto.","27,6","7,7","11,5",,,,Folha de Ouro | Madeira | Tinta,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
18,19,Escultura Religiosa,Nossa Senhora,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura feminina, meia-idade, de pé, em posição frontal, cabeça erguida, com olhar abaixado; cabelos compridos e negros, parcialmente cobertos por véu; tem braços flexionados á frente, estando o direito mais alto, sem a mão; na mão esquerda sustenta uma almofada; perna direita dobrada, e a esquerda reta, com os pés ocultados. Vestida com uma túnica branca, com padronagem em motivos florais, cingida na cintura; mantelete vermelho, delimitado por friso dourado, preso à frente por firmal losangular dourado; manto azul, com confetes, dourados, contorno em friso dourado, de forro em estrias vermelhas, transpassado diagonalmente na parte inferior do corpo, e enrolado no braço esquerdo, de onde caí lateralmente. A imagem encontra-se de pé sobre uma base atributiva, em tufos de nuvens acinzentadas, com duas cabeças de anjos de asas azul (da direita) e vermelha (da esquerda); peanha de forma retangular vermelha, de quinas chanfradas e borda superior frisada.",36,12,,,,,Folha de Ouro | Madeira | Tinta,Brasil > Minas Gerais,Século XIX | Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
19,20,Escultura Religiosa,Crucificado,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Representação do Senhor Morto na cruz, pregado por três cravos metálicos, em posição frontal, com a cabeça levemente tombada a esquerda, de cabelos longos, em estrias onduladas, com duas pontas caídas sobre os ombros, e uma mecha ressaltada sobre o alto; com coroa de espinhos, em dois ramos entrelaçados; olhos fechados; bigode fino, barba em volutas, bipartida abaixo do queixo. Braços estendidos em ""Y"", com as mãos abertas; toráx com costelas em ogiva e mamilos demarcados, com pequena chaga do lado direito; ventre retraído; pernas dobradas, com o pé direito sobre o esquerdo. Vestido com perizônio curto, dobrado ao centro, com as bordas serrilhadas, e seguro por duplo cordão com nó à esquerda. Cruz em traves retangulares, lisas, de borda bisotada, em madeira escura.",,,,,,,Madeira | Marfim | Metal,Europa (Luso-Oriental),Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
20,21,Relevo Religioso,Anjo Glorioso,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Relevo religioso confeccionado em madeira entalhada, pintada e dourada, de manufatura erudita, com representação de Anjo Glorioso. Objeto com representação de anjo, ao centro, feita através de figura masculina, jovem, de pé, com corpo em posição frontal (movimentada), tendo a cabeça voltada à direita, cabelos semi-longos e estriados, em tom castanho escuro, com mechas em “SS” esvoaçantes e voltadas para trás. Apresenta rosto redondo, tez em tom bege escuro, testa curta, olhos castanhos, nariz pequeno, boca entreaberta com lábios em tom vermelho, queixo duplo e pescoço comprido. Tem o seu ombro direito à mostra e traja túnica com mangas 3/4, nos tons verde e vermelho, ornada por motivos florais em dourado. Túnica sobreposta por manto esvoaçante. Panejamento movimentado. Tem seu braço esquerdo elevado, com a mão segurando a extremidade de faixa dourada atravessada à sua frente, na altura da barriga, e seu braço direito estendido para baixo e posicionado ligeiramente mais atrás, segurando com a mão a outra extremidade da faixa. Apresenta pernas flexionadas, estando a sua perna esquerda apoiada sobre a sua perna direita. Pés calçados com botas douradas com os dedos à mostra. Figura composta por asas douradas dispostas nas costas, mais à esquerda, com entalhe estriado. Anjo em glória inserido em nuvem estilizada, em tom azul e dourado, encimado por par de querubins, arrematado na parte inferior por outros três querubins e ladeado por quatro anjos (“puttis”), dispostos dois de cada lado. Os querubins e “puttis” que cercam o Anjo Glorioso, totalizando nove representações, encontram-se dispostos da seguinte forma: na parte superior, par de querubins com rostos redondos, de perfil, com as cabeças voltadas ao centro, se entreolhando, tendo cabelos curtos e cacheados, olhos amendoados, narizes arrebitados, bocas pequenas em tom vermelho, bochechas salientes e asas em tom azul escuro e dourado; na parte inferior, três querubins com as mesmas características dos querubins superiores, estando o querubim central com o rosto inclinado à esquerda, o querubim à esquerda com a cabeça direcionada ao centro (ambos se entreolham), e o terceiro querubim com a cabeça voltada à direita; na lateral direita, “putti” representado de corpo inteiro, com a parte superior do corpo retorcida e com a cabeça voltada à esquerda, tendo corpo roliço, envolto na cintura por tecido dourado, com panejamento movimentado, e mãos em posição de oração. Logo abaixo, figura de anjo inserido em nuvem, representado em meio corpo, com cabelos curtos e ondulados e a cabeça ligeiramente direcionada à esquerda, tendo o peito desnudo e as mãos cruzadas sobre o mesmo. Na lateral superior esquerda do objeto, representação de anjo em meio corpo, com o peito desnudo, envolto em tecido, com a cabeça voltada à direita, tendo as suas mãos entrelaçadas e cruzadas à frente. Logo abaixo, “putti” representado de corpo inteiro, desnudo, com a cabeça inclinada à direita e olhar direcionado à frente, tendo os braços flexionados e as mãos entrelaçadas e cruzadas sobre o peito. Os “puttis” e os querubins apresentam asas com vestígios de tinta azul. Parte posterior do objeto em madeira lisa e reta.",40,10,31,,,,Folha de Ouro | Madeira | Tinta,[Portugal?],Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
21,22,Escultura Religiosa,“Menino Jesus”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura de um menino nu, de pé sobre um globo, em posição frontal, com a cabeça erguida, olhos direcionados a frente; cabelos curtos em várias mechas onduladas; sobrancelhas levemente demarcadas, boca fechada e faces cheias; tem os braços flexionados a frente, mão esquerda segurando uma esfera azulada, arrematada por cruz latina dourada; mão direita de abençoar; pernas retas, com os pés paralelos; O menino encontra-se de pé sobre um globo terrestre azulado, com relevo de estrelas douradas, este sobre uma base em peanha de molduras arredondadas, pintada de vermelho.",29,11,,,,,Folha de Ouro | Madeira | Tinta,Brasil > Minas Gerais,Século XVIII > [entre 1701 e 1750],museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
22,23,Grupo Escultórico Religioso,“Calvário”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Conjunto escultórico composto por três imagens: do Senhor Crucificado, pregado a cruz por três cravos, em posição frontal, com a cabeça tombada à esquerda; de cabelos compridos, com uma mecha caída pela frente; de olhos fechados, de bigode fino e barba comprida, com a ponta bipartida; tem os braços estendidos em ""Y"", com as mãos semi-fechadas; toráx com as costelas bem demarcadas, e com a chaga do lado direito do peito; pernas dobradas, com o pé direito sobreposto ao esquerdo. Vestido com perizônio branco seguro por duplo cordão, de dobra ao meio e laço comprido pendido pela esquerda. Cruz em árvore da vida com os nós ressaltados, pintada de verde. Maria Madalena, a esquerda, jovem, ajoelhada, em posição de perfil, com a cabeça erguida e olhos direcionados para o alto; cabelos compridos, em tom morrom, terminados em pontas, duas delas pela frente; tem o braço esquerdo erguido e a mão (inexistente) deveria segurar a cruz; braço direito abaixado, flexionado, sem a mão. Perna esquerda alta, dobrada; perna direita dobrada, com joelho apoiado ao chão. Veste uma túnica azul, cingida na cintura, de decote largo, com gola, punhos e barra em faixa dourada, com confetes; padronagem em motivos fitomorfos dourados grandes; a túnica deixa entrever a ponta do pé esquerdo, calçado por sandália marrom; manto dourado, com motivos florais brancos e punções de estrelas, e forro azul com mesma padronagem da túnica, cobrindo a perna direita, subindo pelas costas e enrolando-se no braço esquerdo.  São João Evangelista, a direita, também jovem, de pé, em posição de perfil, com a cabeça erguida, olhos direcionados ao alto; cabelos compridos, marrons, terminados em pontas menores; tem o braço direito erguido e flexionado, com a mão junto à cruz; braço esquerdo estendido lateralmente, com a mão segurando um livro fechado, de capa vermelha e meia-cana dourada. Perna direita dobrada e a esquerda reta, com pés descalços, em angulo. Veste uma túnica azul cingida na cintura, de gola ampla, com padronagem idêntica à de Madalena; manto vermelho, com padronagem em motivos florais dourados grandes, envolvendo a parte inferior do corpo e enrolando-se no braço esquerdo. Base em forma de calvário, com saliências e reentrâncias imitando rochas, com uma gruta na parte inferior frontal. Pintura em verde, com tos vermelhos e amarelos.","73,5 (geral)",33 (geral),,,,,Folha de Ouro | Madeira | Tinta,Brasil > Minas Gerais,Século XVIII > [entre 1751 e 1800],museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
23,24,Escultura Religiosa,“Nossa Senhora”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura feminina, meia-idade, de pé sobre uma base atributiva, em posição frontal, com a cabeça erguida, ligeiramente inclinada à direita, para onde direciona seu olhar; de cabelos compridos, parcialmente cobertos por um véu curto; tem o braço esquerdo dobrado à frente, mão aberta sustentando uma dobra do manto, onde se encontra um pino metálico, para a fixação do Menino Jesus (inexistente); não tem o braço direito; perna direita levemente flexionada, e a esquerda reta; pés ocultados pela túnica. Vestida com túnica de cor escura, mantelete curto, abotoado á frente, e manto avermelhado, cobrindo a parte inferior do corpo e dobrado junto á mão esquerda, de onde cai lateralmente. Base atributiva em forma de forma de tufos de nuvens, onde aparecem três cabeças de anjos, com asas inferiores, sendo vermelhas as asas dos anjos dos extremos, e escura (provavelmente azul) a do anjo central. Peanha de forma de escócia, de laterais em moldura meia-cana invertida, de quinas chanfradas, faltando praticamente a metade esquerda.",21,"10,5",,,,,Folha de Ouro | Madeira | Tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
24,25,Santo,Santo Antônio de Pádua,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Escultura religiosa, de pequeno porte, confeccionada em madeira (cedro) entalhada, pintada e dourada, representando Santo Antônio de Pádua. Figura masculina, jovem, de pé, em posição frontal, com cabelos estriados em tonsura, no tom preto, tendo orifício no alto da cabeça para encaixe de resplendor (este inexistente), carnação em tom bege escuro, rosto oval (mais largo nas laterais), testa curta, orelhas aparentes, sobrancelhas pintada em tom preto, tendo olhos pequenos e cílios pintados em tom castanho, nariz pequeno e aquilino, bochechas em tom avermelhado, boca pequena cerrada, em tom vermelho, queixo saliente e pescoço delgado. Traja hábito franciscano composto por túnica longa, de mangas largas, em tom preto, cintada, sobreposta por manto com capuz, ambos ornados por barra dourada, tendo cíngulo dourado (parcialmente querbado) preso à cintura. Panejamento com movimentação levemente esvoaçante na parte inferior. Apresenta os braços flexionados e as mãos quebradas, tendo sua perna direita ligeiramente flexionada com o pé disposto um pouco mais atrás e parcialmente de lado. Pés descalços aparentes. Peça apoiada sobre base octogonal escalonada e pintada em tom vermelho escuro.","20,2",6,9,,,,Folha de Ouro | Madeira | Tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
