,Número de registro,Denominação,Autor,Material/Técnica,Local de produção,Data de produção,Classificação,Dimensões - altura,Dimensões - profundidade/comprimento,Dimensões - largura,Dimensões - espessura,Dimensões - diâmetro,Resumo descritivo,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
91,402,Argola (com prego),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,"Argola confeccionada em ferro batido, com corpo em círculo delgado e estrutura em ponta que se prende por pequeno aro para encaixe em estrutura de madeira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
92,403,Argola (com prego),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,"Argola confeccionada em ferro batido, com corpo em círculo delgado e estrutura em ponta que se prende por pequeno aro para encaixe em estrutura de madeira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
93,404,Argola (com prego),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,"Argola confeccionada em ferro batido, com corpo em círculo delgado e estrutura em ponta que se prende por pequeno aro para encaixe em estrutura de madeira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
94,405,Argola (com prego),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,"Argola confeccionada em ferro batido, com corpo em círculo delgado e estrutura em ponta que se prende por pequeno aro para encaixe em estrutura de madeira.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
95,407,Resplendor,Não identificado,metal,Minas Gerais,Séc. XIX,08 Insígnias,,,,,,"Resplendor confeccionado em metal prateado (alpaca) composto, na parte superior, por vinte e cinco hastes verticais dispostas em semi-círculo, representando raios de sol. Parte inferior com estrela de cinco pontas inserida em corpo contornado por pequenos traços formando meia lua e terminada por haste vertical em ponta (para encaixe do atributo na escultura). Parte posterior lisa com a inscrição: ""S FHIGENIA""  e ""SF"".","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
0,408,Estribo,Não identificado,ferro,Minas Gerais,Séc. XIX,11 Transporte > 11.3 Acessório de Transporte Terrestre,,,,,,"Estribo confeccionado em metal (ferro), de formato circular. Apresenta parte central em meio-arco, com base reta (para encaixe do pé), e parte superior com pequeno recorte abaulado para fixação da peça ao arreio, ambos vazados. Parte inferior da peça com corpo mais espesso.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
1,409,Estribo,Não identificado,ferro,Minas Gerais,Séc. XIX,11 Transporte > 11.3 Acessório de Transporte Terrestre,,,,,,"Estribo confeccionado em metal (ferro), de formato circular. Apresenta parte central em meio-arco, com base reta (para encaixe do pé), e parte superior com pequeno recorte abaulado para fixação da peça ao arreio, ambos vazados. Parte inferior da peça com corpo mais espesso.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
2,410,Boquilha,Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,"Boquilha confeccionada em metal (ferro) com estrutura superior em semi-círculo arrematada por dois lingotes do mesmo metal, tendo estes a extremidade superior quadrada e vazada e a extremidade inferior em ponta para encaixe no caixilho da janela ou da porta. Eixo de movimentação do objeto feito por prolongamento retorcido da estrutura principal terminada  vestígios de tinta vermelha.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
3,411,Boquilha,Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,"Boquilha confeccionada em metal (ferro) com estrutura superior em semi-círculo arrematada por dois lingotes do mesmo metal, tendo estes a extremidade superior quadrada e vazada e a extremidade inferior em ponta para encaixe no caixilho da janela ou da porta. Eixo de movimentação do objeto feito por prolongamento retorcido da estrutura principal terminada  vestígios de tinta vermelha.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
4,412,Boquilha,Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,"Boquilha confeccionada em metal (ferro) com estrutura superior em semi-círculo arrematada por dois lingotes do mesmo metal, tendo estes a extremidade superior quadrada e vazada e a extremidade inferior em ponta para encaixe no caixilho da janela ou da porta. Eixo de movimentação do objeto feito por prolongamento retorcido da estrutura principal terminada em quadrado.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
5,413,Fechadura (janela/porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,"Fechadura de porta confeccionada em metal (ferro), de formato quadrangular, com quatro orifícios de fixação nas extremidades para colocação de pregos. Parte frontal lisa com aba lateral e orifício central para encaixe da chave (inexistente). Parte posterior com estrutura da tranca no mesmo metal, com haste horizontal e caixa retangular com moldura abaulada arrematada por cilindro com eixo central.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
6,414,Fechadura (janela/porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,"Fechadura de porta confeccionada em metal (ferro), de formato quadrangular, com quatro orifícios de fixação nas extremidades para colocação de pregos. Parte frontal lisa com aba lateral e orifício central para encaixe da chave (inexistente). Parte posterior com estrutura da tranca no mesmo metal, com haste horizontal e caixa retangular com moldura abaulada arrematada por cilindro com eixo central. Apresenta, na parte posterior, a seguinte inscrição em relevo: ""ENANGIO"". Na parte frontal, vestígios de tinta ocre e azul.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
7,415,Fechadura (janela/porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,"Fechadura de porta confeccionada em metal (ferro), de formato quadrangular, com quatro orifícios de fixação nas extremidades para colocação de pregos. Parte frontal lisa com aba lateral e orifício central sinuoso para encaixe da chave (inexistente). Parte posterior com estrutura da tranca no mesmo metal, com haste horizontal e caixa retangular com moldura abaulada arrematada por cilindro com eixo central.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
8,416,Fechadura (janela/porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,"Fechadura de porta confeccionada em metal (ferro), de formato retangular, com quatro orifícios de fixação nas extremidades para colocação de pregos. Parte frontal lisa com aba lateral e orifício central sinuoso para encaixe da chave (inexistente). Parte posterior com estrutura da tranca no mesmo metal, com haste horizontal e caixa retangular arrematada por cilindro com eixo central.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
9,417,Fechadura (janela/porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,"Fechadura de porta confeccionada em metal (ferro), de formato retangular, com quatro orifícios de fixação nas extremidades para colocação de pregos. Parte frontal lisa com aba lateral e orifício central sinuoso para encaixe da chave (inexistente). Parte posterior com estrutura da tranca no mesmo metal, com haste horizontal e caixa retangular arrematada por cilindro com eixo central. Vestígios de tinta marrom.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
10,418,Fechadura (janela/porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,"Fechadura de porta confeccionada em metal (ferro), de formato retangular, com quatro orifícios de fixação nas extremidades para colocação de pregos. Parte frontal lisa com aba lateral e orifício central sinuoso para encaixe da chave (inexistente). Parte posterior com estrutura da tranca no mesmo metal, com haste horizontal e caixa retangular arrematada por cilindro com eixo central. Vestígios de tinta marrom.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
11,419,Balaústre,,madeira | tinta,,,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
12,420,Balaústre,,madeira | tinta,,,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
13,421,Balaústre,,madeira | tinta,,,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
14,422,Balaústre,,madeira | tinta,,,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
15,423,Balaústre,,madeira | tinta,,,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
16,424,Balaústre,,madeira | tinta,,,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
17,425,Porta,Não identificado,madeira | metal | tinta,Minas Gerais,Séc. XVIII,04 Construção > 04.4 Fragmento de Construção,,,,,,"Porta confeccionada em madeira (cedro) recortada e policromada nos tons azul e amarelo. Apresenta três almofadas retangulares, em tom azul, dispostas  verticalmente, tendo a parte central frisada. Não possui fechadura. Orifícios de encaixe da fechadura e dobradiças em metal (ferro). Parte interna pintada em tom amarelo.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
18,426,Porta,Não identificado,madeira | metal | tinta,Minas Gerais,Séc. XVIII,04 Construção > 04.4 Fragmento de Construção,,,,,,"Porta confeccionada em madeira (cedro) recortada e policromada nos tons azul e amarelo. Apresenta três almofadas retangulares, em tom azul, dispostas  verticalmente, tendo a parte central frisada. Não possui fechadura. Orifícios de encaixe da fechadura e dobradiças em metal (ferro). Parte interna pintada em tom amarelo.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
19,438,Tranca (de porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
20,439,Tranca (de porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
21,440,Tranca (de porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
22,441,Tranca (de porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
23,442,Tranca (de porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
24,443,Tranca (de porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
25,444,Tranca (de porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
26,445,Tranca (de porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
27,446,Tranca (de porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
28,447,Tranca (de porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
29,448,Tranca (de porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
30,449,Tranca (de porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
31,450,Tranca (de porta),Não identificado,ferro | metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
32,451,Trena,G. Saint Martin 80,metal,Rio de Janeiro,Séc. XX,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
33,452,Caixa registradora,Casa Dettori (de Angelo Dettori),metal | plástico | tinta,Diamantina (MG),Séc. XX,06 Trabalho > 06.4 Equipamento de Atividades Comerciais,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
34,453,Pináculo,Não identificado,madeira,Serro (MG),Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
35,454,Máquina de escrever,Não Identificada,metal | plástico | tinta,Minas Gerais,Séc. XX,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
36,455,Máquina de escrever,Agentes Casa Pratt Geraes Brasil,metal | plástico | tinta,Minas Gerais,Séc. XX,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
37,456,Fechadura (janela/porta),Não identificado,metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
38,457,Chave,Não identificado,metal,Minas Gerais,Séc. XIX,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
39,458,Machado,Não identificado,metal,Serro (MG),Séc. XX,06 Trabalho > 06.1 Equipamento Agrícola,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
40,459,"Arco (de retábulo, fragmento)",Não identificado,madeira,Serro (MG),Séc. XVIII,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
41,460,"Arco (de retábulo, fragmento)",Não identificado,madeira,Serro (MG),Séc. XVIII,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
42,461,"Arco (de retábulo, fragmento)",Não identificado,madeira,Serro (MG),Séc. XVIII,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
43,462,"Arco (de retábulo, fragmento)",Não identificado,madeira,Serro (MG),Séc. XVIII,04 Construção > 04.4 Fragmento de Construção,,,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
